Date,Stock
2024-06-21,KSL
2024-06-21,THOMASCOTT
2024-06-21,NAVKARCORP
2024-06-24,TTL
2024-06-24,SASKEN
2024-06-25,NBIFIN
2024-06-25,NEULANDLAB
2024-06-26,DRREDDY
2024-06-26,SHANTIGEAR
2024-06-27,DHUNINV
2024-06-28,KPIGREEN
2024-07-01,KEYFINSERV
2024-07-01,SUVEN
2024-07-01,KAUSHALYA
2024-07-02,SUNPHARMA
2024-07-02,JKTYRE
2024-07-04,AGI
2024-07-04,LUPIN
2024-07-04,INOXWIND
2024-07-08,ITC
2024-07-09,POWERMECH
2024-07-15,IDBI
2024-07-24,MONARCH
2024-07-24,JASH
2024-07-25,AJANTPHARM
2024-07-29,ESTER
2024-07-29,TTKHLTCARE
2024-07-30,FORCEMOT
2024-07-30,TATAPOWER
2024-07-30,MOTILALOFS
2024-07-31,UNICHEMLAB
2024-07-31,WEBELSOLAR
2024-08-06,ARCHIDPLY
2024-08-08,MAHASTEEL
2024-08-08,MAHAPEXLTD
2024-08-08,WIPL
2024-08-09,EDELWEISS
2024-08-12,PANACEABIO
2024-08-13,UNIVASTU
2024-08-13,ANUP
2024-08-19,TVSSRICHAK
2024-08-19,SHRIPISTON
2024-08-19,DPABHUSHAN
2024-08-19,INDOSTAR
2024-08-19,TEMBO
2024-08-19,POLYMED
2024-08-19,RBL
2024-08-20,KEI
2024-08-20,KIRLOSENG
2024-08-21,VEDL
2024-08-21,PALASHSECU
2024-08-21,HGINFRA
2024-08-22,AEGISLOG
2024-08-22,ICIL
2024-08-22,SHRIRAMPPS
2024-08-22,PRECAM
2024-08-23,ALBERTDAVD
2024-08-23,RADICO
2024-08-23,INDOTHAI
2024-08-26,BANKBEES
2024-08-26,HINDALCO
2024-08-26,AXISBNKETF
2024-08-27,UCAL
2024-08-27,TI
2024-08-27,BANKNIFTY
2024-08-27,TEJASNET
2024-08-27,GOODLUCK
2024-08-28,ZUARIIND
2024-08-28,MODIRUBBER
2024-08-28,KEC
2024-08-29,SUNDARMFIN
2024-08-29,VSTTILLERS
2024-08-30,HEROMOTOCO
2024-08-30,PIDILITIND
2024-09-03,AEGISLOG
2024-09-03,ASAHIINDIA
2024-09-06,FLUOROCHEM
2024-09-06,BRIGADE
2024-09-09,ZFCVINDIA
2024-09-11,ORIENTLTD
2024-09-11,BIGBLOC
2024-09-12,BOSCHLTD
2024-09-13,JINDALSTEL
2024-09-16,M&M
2024-09-16,UNITEDPOLY
2024-09-16,AXISBANK
2024-09-17,NEOGEN
2024-09-18,LUMAXTECH
2024-09-18,SEJALLTD
2024-09-19,SINTERCOM
2024-09-19,KPRMILL
2024-09-20,SOBHA
2024-09-23,ESCORTS
2024-09-23,SRHHYPOLTD
2024-09-24,AUSOMENT
2024-09-24,NIFTYMETAL
2024-09-24,VIDHIING
2024-09-24,NATIONALUM
2024-09-24,SMARTLINK
2024-09-24,BFUTILITIE
2024-09-24,MARUTI
2024-09-24,GODREJPROP
2024-09-25,HNGSNGBEES
2024-09-25,CPSEETF
2024-09-27,SIEMENS
2024-09-27,IOC
2024-09-30,FEDERALBNK
2024-10-01,STYRENIX
2024-10-01,EIMCOELECO
2024-10-08,HERCULES
2024-10-08,DREDGECORP
2024-10-08,PGIL
2024-10-09,SALZERELEC
2024-10-09,JUSTDIAL
2024-10-10,ICEMAKE
2024-10-11,EXIDEIND
2024-10-11,USHAMART
2024-10-11,MAFANG
2024-10-11,DODLA
2024-10-14,ESABINDIA
2024-10-14,FEDERALBNK
2024-10-14,STYRENIX
2024-10-14,KELLTONTEC
2024-10-14,GANESHHOUC
2024-10-14,JASH
2024-10-15,360ONE
2024-10-16,FINPIPE
2024-10-16,AJMERA
2024-10-16,ORIENTCEM
2024-10-16,ABSLAMC
2024-10-17,GANGESSECU
2024-10-18,BBOX
2024-10-23,TTL
2024-10-29,FEDERALBNK
2024-10-30,TEJASNET
2024-10-30,STEELCITY
2024-10-30,360ONE
2024-10-30,TCI
2024-10-31,SHAILY
2024-10-31,HECPROJECT
2024-10-31,SUMICHEM
2024-10-31,INOXWIND
2024-11-01,PIXTRANS
2024-11-04,ELGIRUBCO
2024-11-04,SPAL
2024-11-05,BBOX
2024-11-05,VIMTALABS
2024-11-05,RAMCOSYS
2024-11-05,AURUM
2024-11-06,ESTER
2024-11-06,COROMANDEL
2024-11-06,WANBURY
2024-11-06,AFFLE
2024-11-06,OFSS
2024-11-06,FIEMIND
2024-11-06,IMFA
2024-11-06,WELINV
2024-11-06,SBIETFIT
2024-11-06,AXISTECETF
2024-11-07,EIDPARRY
2024-11-08,HESTERBIO
2024-11-18,JPOLYINVST
2024-11-21,S&SPOWER
2024-11-21,JINDALPHOT
2024-11-21,EKC
2024-11-22,NAUKRI
2024-11-25,TIRUMALCHM
2024-11-25,AVROIND
2024-11-26,DELTAMAGNT
2024-11-26,PRAJIND
2024-11-26,CAPACITE
2024-11-26,OPTIEMUS
2024-11-26,MARINE
2024-11-26,RPSGVENT
2024-11-26,MONTECARLO
2024-11-27,TNIDETF
2024-11-27,SARLAPOLY
2024-11-27,SGIL
2024-11-27,TIMETECHNO
2024-11-27,SANSERA
2024-11-28,NAVA
2024-11-28,MANINFRA
2024-11-29,POLYCAB
2024-11-29,HEXATRADEX
2024-12-02,CHAMBLFERT
2024-12-02,KSL
2024-12-02,NELCO
2024-12-02,COSMOFIRST
2024-12-02,APOLLOHOSP
2024-12-02,PRICOLLTD
2024-12-02,ANANTRAJ
2024-12-02,HBLENGINE
2024-12-02,WANBURY
2024-12-02,ASHAPURMIN
2024-12-02,SETFNIFBK
2024-12-02,DSSL
2024-12-02,ASHOKA
2024-12-02,RPPINFRA
2024-12-03,DIACABS
2024-12-03,ULTRACEMCO
2024-12-03,NITINSPIN
2024-12-03,LTFOODS
2024-12-04,BANARISUG
2024-12-04,INDIAGLYCO
2024-12-04,HEG
2024-12-04,GOLDIAM
2024-12-04,LINCOLN
2024-12-05,BLUESTARCO
2024-12-05,INDIANCARD
2024-12-05,CNXSMALLCAP
2024-12-05,WELENT
2024-12-06,VEDL
2024-12-06,NIFTYCONSURDURBL
2024-12-06,GODREJAGRO
2024-12-06,ADSL
2024-12-09,ROTO
2024-12-09,TCPLPACK
2024-12-09,SUMIT
2024-12-09,WEL
2024-12-09,LUMAXTECH
2024-12-09,RELIGARE
2024-12-09,MAXIND
2024-12-10,HARRMALAYA
2024-12-10,GABRIEL
2024-12-10,MHLXMIRU
2024-12-10,ZOTA
2024-12-10,IIFLCAPS
2024-12-10,CANTABIL
2024-12-10,TBZ
2024-12-11,GIPCL
2024-12-11,NIFTY50VALUE20
2024-12-11,CHEMFAB
2024-12-12,HINDCOMPOS
2024-12-13,CENTUM
2024-12-13,STARCEMENT
2024-12-13,BHARTIARTL
2024-12-16,STOVEKRAFT
2024-12-23,LUPIN
2024-12-24,POWERINDIA
2024-12-26,CNXPHARMA
2024-12-26,SUNPHARMA
2024-12-30,WORTH
2024-12-31,APOLLO
2025-01-01,KAUSHALYA
2025-01-02,EICHERMOT
2025-01-09,SRF
2025-01-15,TCPLPACK
2025-01-15,CUBEXTUB
2025-01-20,AYMSYNTEX
2025-01-22,KHAITANLTD
2025-01-24,MPSLTD
2025-01-30,AMIORG
2025-01-31,DEEPINDS
2025-02-03,KAMATHOTEL
2025-02-05,KANPRPLA
2025-02-05,VIMTALABS
2025-02-06,DIVISLAB
